company,title,location,remote_type,department,employment_type,experience_min,experience_max,posted_date,apply_url,first_seen_at
Ashapura Softech,Custom Services,India,,,,,,,https://ashapurasoftech.com/careers#Content-a58f9f96a5470cd3b53a,2026-07-13T04:59:32.558985
Ashapura Softech,Microsoft Services,India,,,,,,,https://ashapurasoftech.com/careers#Content-16b09e36a5470cd3b53a,2026-07-13T04:59:32.558985
Ashapura Softech,Salesforce Services,India,,,,,,,https://ashapurasoftech.com/careers#Content-abb53e86a5470cd3b53a,2026-07-13T04:59:32.558985
Ashapura Softech,Zoho Services,India,,,,,,,https://ashapurasoftech.com/careers#Content-e83df9b6a5470cd3b53a,2026-07-13T04:59:32.558985
Citigroup,AVP Marketing Data Science,Mumbai Maharashtra India,,,,,,2026-07-13T05:00:22.200348,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Mumbai-Maharashtra-India/AVP-Marketing-Data-Science_26978215,2026-07-13T04:59:32.558985
Citigroup,"Business Risk and Control Officer, Vice President",Singapore  Singapore,,,,,,2026-07-13T05:00:22.200107,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Singapore--Singapore/Business-Risk-and-Control-Officer--Vice-President_26978584,2026-07-13T04:59:32.558985
Citigroup,Commodity Trade Finance – Transaction Manager (AVP),Singapore  Singapore,,,,,,2026-07-13T05:00:22.200150,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Singapore--Singapore/Commodity-Trade-Finance---Transaction-Manager--AVP-_26976917,2026-07-13T04:59:32.558985
Citigroup,Cross-disciplinary Controls Analyst 2 - C10 - TAGUIG,Taguig  Philippines,,,,,,2026-07-13T05:00:22.200198,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Taguig--Philippines/Cross-disciplinary-Controls-Analyst-2---C10---TAGUIG_26978253-1,2026-07-13T04:59:32.558985
Citigroup,"Operations - Full Time Analyst, Kuala Lumpur, 2026",Kuala Lumpur Selangor Malaysia,,,,,,2026-07-13T05:00:22.200466,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Kuala-Lumpur-Selangor-Malaysia/Operations---Full-Time-Analyst--Kuala-Lumpur--2026_26965983,2026-07-13T04:59:32.558985
Citigroup,"Operations - Full Time Analyst, Penang , 2026",Penang Pulau Pinang (penang) Malaysia,,,,,,2026-07-13T05:00:22.200386,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Penang-Pulau-Pinang-penang-Malaysia/Operations---Full-Time-Analyst--Penang---2026_26965965-1,2026-07-13T04:59:32.558985
Citigroup,"Payments Operations Head,  Senior Vice President",Taguig  Philippines,,,,,,2026-07-13T05:00:22.200240,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Taguig--Philippines/Payments-Operations-Head---Senior-Vice-President_26977183,2026-07-13T04:59:32.558985
Citigroup,Senior Java Developer - Pune - C12/AVP,Pune Maharashtra India,,,,,,2026-07-13T05:00:22.200041,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Pune-Maharashtra-India/Senior-Java-Developer---Pune---C12-AVP_26977446,2026-07-13T04:59:32.558985
Citigroup,Transaction Manager - C12 - PUNE,Pune Maharashtra India,,,,,,2026-07-13T05:00:22.200279,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Pune-Maharashtra-India/Transaction-Manager---C12---PUNE_26971830-1,2026-07-13T04:59:32.558985
Citigroup,증권업무부 (Client Service Manager),"Seoul  Korea, Republic Of",,,,,,2026-07-13T05:00:22.200313,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Seoul--Korea-Republic-Of/--Client-Service-Manager-_26976892-1,2026-07-13T04:59:32.558985
Cloudflare,"Network Acquisition Manager, APAC",Hybrid,hybrid,Infrastructure,,,,2026-07-12T22:22:39,https://boards.greenhouse.io/cloudflare/jobs/8052843?gh_jid=8052843,2026-07-13T04:59:32.558985
Cloudflare,"Pre-Sales Customer Engineer, Indonesia",Hybrid,hybrid,Solution Engineering,,3,5,2026-07-12T22:05:51,https://boards.greenhouse.io/cloudflare/jobs/8052856?gh_jid=8052856,2026-07-13T04:59:32.558985
Comcast,"Executive Director, Global Financial Operations & Compliance","Great Britain - London, 1 St Giles High St",,,,,,2026-07-13T05:00:45.772361,https://comcast.wd5.myworkdayjobs.com/en-US/Comcast_Careers/job/Great-Britain---London-1-St-Giles-High-St/Executive-Director--Global-Financial-Operations---Compliance_R440777-1,2026-07-13T04:59:32.558985
Digimonk Technologies,Python Developer (Django),"Gwalior/Noida, India",,,,,,,https://digimonk.in/job-detail/python-developer-django/,2026-07-13T04:59:32.558985
Disney,"Assistant Manager, External Reporting","Jakarta, Indonesia",,,,,,2026-07-13T05:00:40.059990,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Jakarta-Indonesia/Assistant-Manager--External-Reporting_10155565,2026-07-13T04:59:32.558985
Disney,"Associate Manager, Regional Accounting & Controllership","Buenos Aires, Argentina",,,,,,2026-07-13T05:00:40.059853,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Buenos-Aires-Argentina/Associate-Manager--Regional-Accounting---Controllership_10154475,2026-07-13T04:59:32.558985
Disney,Event Solutions Coordinator,"Lake Buena Vista, FL, USA",,,,,,2026-07-13T05:00:40.059794,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Lake-Buena-Vista-FL-USA/Event-Solutions-Coordinator_10153581-1,2026-07-13T04:59:32.558985
Disney,"Specialist, Business Planning and Operations, DCP APAC","Shanghai, China",,,,,,2026-07-13T05:00:40.059925,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Shanghai-China/Team-Assistant_10150547,2026-07-13T04:59:32.558985
GitLab,Commercial Account Executive - Australia,"Remote, Australia",remote,APAC - Commercial,,,,2026-07-12T19:05:20,https://job-boards.greenhouse.io/gitlab/jobs/8617211002,2026-07-13T04:59:32.558985
HPE,Cloud Developer,"Bengaluru, Karnātaka, India",,,,,,2026-07-13T05:00:24.400783,https://hpe.wd5.myworkdayjobs.com/en-US/Jobsathpe/job/Bengaluru-Karntaka-India/Cloud-Developer_1208222-2,2026-07-13T04:59:32.558985
HPE,High Performance Computing - Principal Networking Software development Engineer,"Bengaluru, Karnātaka, India",,,,,,2026-07-13T05:00:24.400623,https://hpe.wd5.myworkdayjobs.com/en-US/Jobsathpe/job/Bengaluru-Karntaka-India/High-Performance-Computing---Principal-Networking-Software-development-Engineer_1209304-2,2026-07-13T04:59:32.558985
HPE,"Senior Presales, Systems Engineer - NYC Metro","All, New York, United States of America",,,,,,2026-07-13T05:00:24.400705,https://hpe.wd5.myworkdayjobs.com/en-US/Jobsathpe/job/All-New-York-United-States-of-America/Senior-Presales--Systems-Engineer---NYC-Metro_1209464,2026-07-13T04:59:32.558985
HPE,Systems/Software Engineer II,2 Locations,,,,,,2026-07-13T05:00:24.400751,https://hpe.wd5.myworkdayjobs.com/en-US/Jobsathpe/job/Chippewa-Falls-Wisconsin-United-States-of-America/Systems-Software-Engineer-II_1208245-2,2026-07-13T04:59:32.558985
Mindrops,Job Profile : Business Development Associate,India,,,,,,,https://www.mindrops.com/cdn-cgi/l/email-protection#59312b193430373d2b36292a773a3634,2026-07-13T04:59:32.558985
Mindrops,Job Profile : IT Project Manager / Coordinator,India,,,,,,,https://www.mindrops.com/cdn-cgi/l/email-protection#244c5664494d4a40564b54570a474b49,2026-07-13T04:59:32.558985
Morgan Stanley,"IED Non-Market Risk (NMR), Business Control Unit (BCU) – Senior Associate / Vice President– Non-Japan Asia","Hong Kong, Hong Kong",,,,,,2026-07-13T05:00:20.261346,https://ms.wd5.myworkdayjobs.com/en-US/External/job/Hong-Kong-Hong-Kong/IED-Non-Market-Risk--NMR---Business-Control-Unit--BCU----Senior-Associate---Vice-President--Non-Japan-Asia_JR037398-1,2026-07-13T04:59:32.558985
Morgan Stanley,"Institutional Equity Division Negotiator, Associate","Hong Kong, Hong Kong",,,,,,2026-07-13T05:00:20.261406,https://ms.wd5.myworkdayjobs.com/en-US/External/job/Hong-Kong-Hong-Kong/Institutional-Equity-Division-Negotiator--Associate_JR039879,2026-07-13T04:59:32.558985
Morgan Stanley,"Vice President, Leveraged Finance","Sydney, Australia",,,,,,2026-07-13T05:00:20.261316,https://ms.wd5.myworkdayjobs.com/en-US/External/job/Sydney-Australia/Vice-President--Leveraged-Finance_JR039727,2026-07-13T04:59:32.558985
NVIDIA,"Director, Rack Scale Software Architecture",5 Locations,,,,,,2026-07-13T05:00:17.653125,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Director--Rack-Scale-Software-Architecture_JR2012499,2026-07-13T04:59:32.558985
NVIDIA,"Distinguished Engineer, Storage – AI Cloud","US, CA, Santa Clara",,,,,,2026-07-13T05:00:17.652994,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Distinguished-Engineer--Storage---AI-Cloud_JR2018037,2026-07-13T04:59:32.558985
NVIDIA,"Manager, Next-Gen AI Cluster Validation",2 Locations,,,,,,2026-07-13T05:00:17.653337,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Manager--Next-Gen-AI-Cluster-Validation_JR2013580,2026-07-13T04:59:32.558985
NVIDIA,"Principal Architect, System Software - Orbital Data Center",2 Locations,,,,,,2026-07-13T05:00:17.652818,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Principal-Architect--System-Software---Orbital-Data-Center_JR2019010,2026-07-13T04:59:32.558985
NVIDIA,Principal Platform Software Engineer - RAS,2 Locations,,,,,,2026-07-13T05:00:17.653307,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/XMLNAME--Principal-Platform-Software-Engineer---RAS_JR2011909,2026-07-13T04:59:32.558985
NVIDIA,Senior Data Center Performance Engineer - Benchmarking and Optimization,2 Locations,,,,,,2026-07-13T05:00:17.653158,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Data-Center-Performance-Engineer---Benchmarking-and-Optimization_JR2008808,2026-07-13T04:59:32.558985
NVIDIA,Senior Deep Learning Framework Communications Engineer,5 Locations,,,,,,2026-07-13T05:00:17.652956,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Deep-Learning-Framework-Communications-Engineer_JR2011908,2026-07-13T04:59:32.558985
NVIDIA,Senior Linux Kernel Systems Software Engineer – CSP Engagements,4 Locations,,,,,,2026-07-13T05:00:17.652908,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Linux-Kernel-Systems-Software-Engineer---CSP-Engagements_JR2015287,2026-07-13T04:59:32.558985
NVIDIA,Senior Platform and EngOps Engineer - Cluster Operations,"US, CA, Santa Clara",,,,,,2026-07-13T05:00:17.653033,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Platform-and-EngOps-Engineer---Cluster-Operations_JR2014633,2026-07-13T04:59:32.558985
NVIDIA,Senior Scientific Machine Learning Engineer – Earth-2,2 Locations,,,,,,2026-07-13T05:00:17.653202,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Scientific-Machine-Learning-Engineer---Earth-2_JR2012860,2026-07-13T04:59:32.558985
NVIDIA,Senior Software Architect - Deep Learning and HPC Communications,5 Locations,,,,,,2026-07-13T05:00:17.652865,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Architect---Deep-Learning-and-HPC-Communications_JR2016116,2026-07-13T04:59:32.558985
NVIDIA,Senior Software Architect - Deep Learning and HPC Communications,5 Locations,,,,,,2026-07-13T05:00:17.653399,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Architect---Deep-Learning-and-HPC-Communications_JR2001099-1,2026-07-13T04:59:32.558985
NVIDIA,Senior Software Engineer - Manufacturing and Factory,5 Locations,,,,,,2026-07-13T05:00:17.653273,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer---Manufacturing-and-Factory_JR2020348-1,2026-07-13T04:59:32.558985
NVIDIA,"Senior Software Engineer, AI Storage",2 Locations,,,,,,2026-07-13T05:00:17.653477,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer--AI-Storage_JR2014785,2026-07-13T04:59:32.558985
NVIDIA,"Senior Software Engineer, GoLang - DSX MaxQ",3 Locations,,,,,,2026-07-13T05:00:17.653241,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer--GoLang---DSX-MaxQ_JR2017740-1,2026-07-13T04:59:32.558985
NVIDIA,"Senior Software Engineer, NCCL and CUDA - CSP Engagements",5 Locations,,,,,,2026-07-13T05:00:17.652733,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer--NCCL-and-CUDA---CSP-Engagements_JR2017461,2026-07-13T04:59:32.558985
NVIDIA,Senior Systems Architect - Datacenter,"US, CA, Santa Clara",,,,,,2026-07-13T05:00:17.653368,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Systems-Architect---Datacenter_JR2019127,2026-07-13T04:59:32.558985
