company,title,location,remote_type,department,employment_type,experience_min,experience_max,posted_date,apply_url,first_seen_at
Citigroup,Lead Java Developer (VP),London  United Kingdom,,,,,,2026-07-02T08:26:00.033488,https://citi.wd5.myworkdayjobs.com/en-US/2/job/London--United-Kingdom/Lead-Java-Developer--VP-_26958411,2026-07-02T08:25:06.707103
Citigroup,Ops Accounting Rep,DLF CYBERCITY 12B,,,,,,2026-07-02T08:26:00.033584,https://citi.wd5.myworkdayjobs.com/en-US/2/job/DLF-CYBERCITY-12B/Ops-Accounting-Rep_26973235,2026-07-02T08:25:06.707103
Citigroup,Product Control Senior Analyst,Budapest  Hungary,,,,,,2026-07-02T08:26:00.033548,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Budapest--Hungary/Product-Control-Senior-Analyst_26971664,2026-07-02T08:25:06.707103
HPE,ASIC Design Engineer,"Bengaluru, Karnātaka, India",,,,,,2026-07-02T08:26:05.059865,https://hpe.wd5.myworkdayjobs.com/en-US/Jobsathpe/job/Bengaluru-Karntaka-India/ASIC-Design-Engineer_1208243-2,2026-07-02T08:25:06.707103
HPE,ASIC Verification Engineer,"Bengaluru, Karnātaka, India",,,,,,2026-07-02T08:26:05.059924,https://hpe.wd5.myworkdayjobs.com/en-US/Jobsathpe/job/Bengaluru-Karntaka-India/ASIC-Verification-Engineer_1207938-3,2026-07-02T08:25:06.707103
HPE,GLO Global Partner & Program Management - Logistics & Spares,2 Locations,,,,,,2026-07-02T08:26:05.059793,https://hpe.wd5.myworkdayjobs.com/en-US/Jobsathpe/job/Singapore-Central-Singapore-Singapore/GLO-Global-Partner---Program-Management---Logistics---Spares_1208389-2,2026-07-02T08:25:06.707103
HPE,"Global Commodity Manager - Cable, Connector / PCB","Taipei, Taipei City, Taiwan",,,,,,2026-07-02T08:26:05.059961,https://hpe.wd5.myworkdayjobs.com/en-US/Jobsathpe/job/Taipei-Taipei-City-Taiwan/Global-Commodity-Manager---Cable--Connector---PBC_1208185-3,2026-07-02T08:25:06.707103
Pika Labs,Go-to-Market Manager,Palo Alto HQ,onsite,Product,Full-time,2,5,2026-07-02T08:03:02.816000,https://jobs.ashbyhq.com/pika/bfe1fa19-5602-487e-b386-2e5754e1d4cf,2026-07-02T08:25:06.707103
Salesforce,"Director, Product Management - Agentforce Contact Center",Ireland - Dublin,,,,,,2026-07-02T08:25:55.573352,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/Ireland---Dublin/Director--Product-Management---Agentforce-Contact-Center_JR344827,2026-07-02T08:25:06.707103
Salesforce,Salesforce-Senior Technical Architect,2 Locations,,,,,,2026-07-02T08:25:55.573199,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/India---Hyderabad/Salesforce-Technical-Architect_JR331971,2026-07-02T08:25:06.707103
Salesforce,Senior / Lead Solution Engineer - 製造 / MFG,Japan - Tokyo,,,,,,2026-07-02T08:25:55.573267,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/Japan---Tokyo/Senior---Lead-Solution-Engineer------MFG_JR346280,2026-07-02T08:25:06.707103
Salesforce,Senior/Lead Solution Engineer - 製造 / MFG,Japan - Tokyo,,,,,,2026-07-02T08:25:55.573315,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/Japan---Tokyo/Senior-Lead-Solution-Engineer_JR330180,2026-07-02T08:25:06.707103
