name,careers_url,ats_type,list_item,title,apply_url,location
LoopCon Technologies,https://loopcon.biz/careers,custom,"div[class*=""job"" i]",h4,a[href]@href,
Matiyas Solutions,https://www.matiyas.com/careers,custom,"div[class*=""col"" i]",h3,a[href]@href,
MetaDesign Solutions,https://metadesignsolutions.com/careers,custom,"div[class*=""career"" i]",a,a[href]@href,
Mindrops,https://www.mindrops.com/career,custom,"div[class*=""job"" i]",h2,a[href]@href,
Mojo Web Technology,https://mojowebtech.com/jobs,custom,"div[class*=""col"" i]",h4,a[href]@href,
Nascenture,https://www.nascenture.com/careers,custom,"div[class*=""col"" i]",h3,a[href]@href,
Net Solutions,https://www.netsolutions.com/careers,custom,"article[class*=""job"" i]",h2,a[href]@href,"[class*=""location"" i]"
NetSet Software Solutions,https://www.netsetsoftware.com/careers,custom,"ul[class*=""job"" i] li",a,a[href]@href,
Neuronimbus,https://www.neuronimbus.com/careers,playwright,"div[class*=""job"" i]",h3,a[href]@href,
NextDynamix Tech,http://www.nextdynamix.com/careers,custom,article,h2,a[href]@href,
NS Global Corporation,https://nsglobalcorporation.com/careers,custom,"div[class*=""job"" i]",h2,a[href]@href,"[class*=""location"" i]"
Oneture Technologies Pvt. Ltd.,https://oneture.com/careers,custom,"div[class*=""opening"" i]","[class*=""title"" i]",a[href]@href,"[class*=""location"" i]"
OptiSol Business Solutions,http://www.optisolbusiness.com/careers,playwright,"li[class*=""job"" i]",a,a[href]@href,
OyeCommerz,https://oyecommerz.com/careers,custom,"div[class*=""position"" i]",h5,a[href]@href,
Pixelstat,https://pixelstat.com/careers,custom,"div[class*=""col"" i]",h3,a[href]@href,
Polestar Tech Consultancy,https://polestartechno.com/careers,custom,"div[class*=""job"" i]",h4,a[href]@href,
Pratiti Technologies Pvt Ltd.,https://www.pratititech.com/jobs,custom,"div[class*=""job"" i]",h4,a[href]@href,
Python India,https://www.pythonindia.in/career,custom,"div[class*=""job"" i]",h5,a[href]@href,"[class*=""location"" i]"
Rudra Innovative Software,https://www.rudrainnovative.com/careers/,custom,"div[class*=""job"" i]",h4,a[href]@href,
RV Technologies Softwares Pvt. Ltd.,https://rvtechnologies.com/careers,custom,"[class*=""careers"" i] li",a,a[href]@href,
Sankey Solutions,https://sankeysolutions.com/careers,custom,"div[class*=""job"" i]",h2,a[href]@href,
Sarvadhi Solutions Pvt Ltd,https://sarvadhi.com/careers,custom,"li[class*=""career"" i]",h3,a[href]@href,
Saubhagyam Web Pvt. Ltd.,http://saubhagyam.com/careers,playwright,"div[class*=""col"" i]",h4,a[href]@href,
SculptSoft Pvt. Ltd.,https://www.sculptsoft.com/career,custom,"div[class*=""col"" i]",a,a[href]@href,"[class*=""place"" i]"
Silicon Signals Pvt. Ltd.,https://siliconsignals.io/jobs,custom,"[class*=""jobs"" i] li",a,a[href]@href,
Simform,https://www.simform.com/careers,custom,"div[class*=""career"" i]",h3,a[href]@href,
Sinergia Labs,http://simelabs.com/careers,playwright,"article[class*=""job"" i]",h2,a[href]@href,
SPEC INDIA,https://www.spec-india.com/careers,custom,li,h5,a[href]@href,
Sphinx Solutions,https://www.sphinx-solution.com/career,playwright,.card,"[class*=""title"" i]",a[href]@href,
Spiral Mantra Private Limited,https://spiralmantra.com/jobs,custom,li,a,a[href]@href,
Sss Syber Tech Private Limited,https://www.ssssybertech.com/jobs,custom,"article[class*=""job"" i]",h3,a[href]@href,
startelelogic,http://www.startelelogic.com/careers,custom,"div[class*=""career"" i]","[class*=""position"" i]",a[href]@href,
StartxLabs Technologies Private Limited,https://startxlabs.com/careers,playwright,"div[class*=""career"" i]",h2,a[href]@href,
Swiggy,https://www.swiggy.com/careers,playwright,"div[class*=""col"" i]",h4,a[href]@href,
SynergyWorks Solutions LLP,https://www.thesynergyworks.com/hiring,custom,"div[class*=""job"" i]",a,a[href]@href,
SynthWeb,https://synthweb.in/careers,custom,"div[class*=""vacanc"" i]",h4,a[href]@href,"[class*=""city"" i]"
Taazaa Inc,https://taazaa.com/careers,playwright,"div[class*=""col"" i]",h4,a[href]@href,
Talentelgia Technologies Private Limited,https://www.talentelgia.com/career,playwright,"div[class*=""opening"" i]",h4,a[href]@href,
Talentica Software,https://www.talentica.com/careers,custom,"div[class*=""col"" i]","[class*=""title"" i]",a[href]@href,
Techcronus Business Solutions,https://www.techcronus.com/careers,playwright,"div[class*=""position"" i]",a,a[href]@href,
Techlusion,https://techlusion.io/careers,custom,"div[class*=""position"" i]",h4,a[href]@href,
Technogiq IT Solutions Private Limited,http://www.technogiq.com/careers,custom,"div[class*=""job"" i]",a,a[href]@href,
Techwink Services,https://techwink.net/careers,custom,li,"[class*=""title"" i]",a[href]@href,
Teqlawn,https://teqlawn.com/career,custom,"div[class*=""career"" i]",h2,a[href]@href,"[class*=""city"" i]"
The Intellify,http://theintellify.com/careers/,custom,"div[class*=""opening"" i]",a,a[href]@href,
The Tech Clouds,https://thetechclouds.com/jobs,playwright,"[class*=""jobs"" i] li",a,a[href]@href,
ThinkPalm Technologies,http://thinkpalm.com/careers,custom,"div[class*=""job"" i]",a,a[href]@href,
Unico Connect,https://unicoconnect.com/careers,custom,"div[class*=""career"" i]",h3,a[href]@href,
Unified Infotech,https://www.unifiedinfotech.net/careers,custom,"div[class*=""career"" i]",h5,a[href]@href,
Unthinkable Pvt. Ltd.,https://www.unthinkable.co/career,custom,li,"[class*=""title"" i]",a[href]@href,
V2Soft Pvt Ltd,https://www.v2soft.com/careers,custom,"[class*=""careers"" i] li",a,a[href]@href,
ValueCoders,https://www.valuecoders.com/careers,custom,"[class*=""careers"" i] li",a,a[href]@href,
VIBIDSOFT,http://www.vibidsoft.com/career,custom,"div[class*=""col"" i]",h5,a[href]@href,
Web Key Digital,http://www.webkeydigital.com/careers,custom,"li[class*=""position"" i]",h2,a[href]@href,
WeblineIndia,https://www.weblineindia.com/careers.html,playwright,"li[class*=""job"" i]",a,a[href]@href,
WebservX,https://www.webservx.com/career,custom,"div[class*=""col"" i]",h3,a[href]@href,
Whatfix,https://whatfix.com/careers,custom,"div[class*=""position"" i]",h3,a[href]@href,
Xicom,http://www.xicom.biz/careers,custom,"[class*=""careers"" i] li",a,a[href]@href,
YES IT Labs LLC,http://yesitlabs.com/careers,custom,"div[class*=""job"" i]",a,a[href]@href,"[class*=""location"" i]"
Youthtech Solutions LLP,https://www.youthtechsolutions.com/career,custom,li,"[class*=""title"" i]",a[href]@href,
zalgo Infotech PVT. LTD.,https://zalgoinfotech.com/career,custom,"li[class*=""position"" i]",a,a[href]@href,
Zazz,https://www.zazz.io/careers,playwright,"div[class*=""job"" i]",h3,a[href]@href,
Zerozilla,http://www.zerozilla.com/careers,custom,"div[class*=""job"" i]",a,a[href]@href,"[class*=""location"" i]"
ZipNom Technologies Private Limited,https://zipnom.com/about/careers,playwright,"li[class*=""job"" i]",a,a[href]@href,
Zoho,https://www.zoho.com/careers,playwright,"li[class*=""job"" i]",a,a[href]@href,
