company,title,location,remote_type,department,employment_type,experience_min,experience_max,posted_date,apply_url,first_seen_at
Adobe,Principal Product Manager - Order to Cash Platform (SAP BRIM),San Jose,,,,,,2026-07-03T20:46:23.190007,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Senior-Product-Manager---Order-to-Cash-Platform--SAP-BRIM-_R169992,2026-07-04T20:45:35.719652
Affirm,"Senior Manager, Key Accounts Sales",Remote US,remote,US Sales,,10,,2026-07-03T09:56:19,https://job-boards.greenhouse.io/affirm/jobs/7787084003,2026-07-04T20:45:35.719652
Airbnb,Market Manager,"Paris, France",,Sales,,6,,2026-07-03T03:39:13,https://careers.airbnb.com/positions/8043473?gh_jid=8043473,2026-07-04T20:45:35.719652
Airbnb,"Supervisor, Hosting","Gurugram, India",,Operations,,,,2026-07-03T04:52:27,https://careers.airbnb.com/positions/8015149?gh_jid=8015149,2026-07-04T20:45:35.719652
Anthropic,Enterprise Account Executive - Life Sciences,"London, UK",,Sales,,8,,2026-07-03T05:54:18,https://job-boards.greenhouse.io/anthropic/jobs/5287249008,2026-07-04T20:45:35.719652
Anthropic,"Partnership Strategy & Operations Lead, International","London, UK",,Sales,,7,,2026-04-28T10:06:23,https://job-boards.greenhouse.io/anthropic/jobs/5196986008,2026-07-04T20:45:35.719652
Anthropic,"Product Finance & Strategy, Monetization","San Francisco, CA",,Finance,,,,2026-07-03T16:28:04,https://job-boards.greenhouse.io/anthropic/jobs/5284899008,2026-07-04T20:45:35.719652
Anthropic,"Research Engineer, Life Sciences","San Francisco, CA",,AI Research & Engineering,,8,,2026-07-03T10:01:13,https://job-boards.greenhouse.io/anthropic/jobs/5265365008,2026-07-04T20:45:35.719652
Ashby,Enterprise Solutions Engineering Manager,Remote - US,remote,Sales,Full-time,,,2026-07-04T17:21:51.478000,https://jobs.ashbyhq.com/ashby/dfc35159-ffe5-4d42-bea3-552b5dc17628,2026-07-04T20:45:35.719652
Ashby,Manager of High Touch Customer Success,Remote - US,remote,Customer Success,Full-time,,,2026-06-30T20:18:38.211000,https://jobs.ashbyhq.com/ashby/a1c47936-0c48-4738-937e-e88ca596cdfe,2026-07-04T20:45:35.719652
Ashby,Manager of Strategic Customer Success,Remote - US,remote,Customer Success,Full-time,,,2026-06-30T20:18:06.484000,https://jobs.ashbyhq.com/ashby/7a3ff629-6c67-4aa5-bea4-f1d88b3b4777,2026-07-04T20:45:35.719652
Ashby,Mid-Market Solutions Engineering Manager,Remote - US,remote,Sales,Full-time,,,2026-07-03T19:53:25.134000,https://jobs.ashbyhq.com/ashby/7d8ec4fe-50aa-4d7e-9eec-db7b2d14bcbd,2026-07-04T20:45:35.719652
Bunq,Head of Trust & Transparency,"Amsterdam, Netherlands",remote,"Risk, Legal & Compliance",fulltime_permanent,,,2026-07-03T16:23:27,https://careers.bunq.com/o/head-of-trust-transparency/c/new,2026-07-04T20:45:35.719652
Bunq,"Senior Legal Counsel, Contract Review","Amsterdam, Netherlands",remote,"Risk, Legal & Compliance",fulltime_permanent,,,2026-07-03T15:47:28,https://careers.bunq.com/o/senior-legal-counsel-contract-review/c/new,2026-07-04T20:45:35.719652
Catawiki,Expert Automobilia,France; Germany; Italy; Netherlands; Portugal; Spain; United Kingdom,,Experts,,,,2026-07-03T11:05:41,https://job-boards.greenhouse.io/catawiki/jobs/8045277,2026-07-04T20:45:35.719652
Citigroup,AVP .NET Senior Developer,Mississauga Ontario Canada,,,,,,2026-07-03T20:46:27.876908,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Mississauga-Ontario-Canada/Market-Data-Sr-Developer---Python-and-Net---Assistant-Vice-President_26954435,2026-07-04T20:45:35.719652
Citigroup,"BANAMEX Analista programador Senior, especialista en performance para procesos críticos enfocados en la liquidación de valores",Ciudad De Mexico Distrito Federal Mexico,,,,,,2026-07-03T20:46:27.875819,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Ciudad-De-Mexico-Distrito-Federal-Mexico/BANAMEX-Analista-programador-Senior--especialista-en-performance-para-procesos-crticos-enfocados-en-la-liquidacin-de-valores_26970946,2026-07-04T20:45:35.719652
Citigroup,BANAMEX BANQUERO EN CABO SAN LUCAS,Cabo San Lucas Baja California Sur Mexico,,,,,,2026-07-03T20:46:27.875509,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Cabo-San-Lucas-Baja-California-Sur-Mexico/BANAMEX-BANQUERO-EN-CABO-SAN-LUCAS_26964263,2026-07-04T20:45:35.719652
Citigroup,BANAMEX IT Technical Lead de Compras - Ciudad De Mexico - Híbrido C13,Ciudad De Mexico Distrito Federal Mexico,,,,,,2026-07-03T20:46:27.875553,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Ciudad-De-Mexico-Distrito-Federal-Mexico/BANAMEX-26967750-IT-Technical-Lead-de-Compras---Ciudad-De-Mexico---Hbrido-C13_26968550-1,2026-07-04T20:45:35.719652
Citigroup,"BANAMEX OPERADOR CAJERO (A) EN DURANGO, DGO",Durango Durango Mexico,,,,,,2026-07-03T20:46:27.876390,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Durango-Durango-Mexico/BANAMEX-OPERADOR-CAJERO--A--EN-DURANGO--DGO_26954302,2026-07-04T20:45:35.719652
Citigroup,BANAMEX Volante Foraneo Atoyac,Atoyac De Alvarez Guerrero Mexico,,,,,,2026-07-03T20:46:27.876097,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Atoyac-De-Alvarez-Guerrero-Mexico/BANAMEX-Volante-Foraneo-Atoyac_26977016,2026-07-04T20:45:35.719652
Citigroup,BANAMEX- Asesor Previsional Afore,Coatzacoalcos Veracruz Mexico,,,,,,2026-07-03T20:46:27.876130,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Coatzacoalcos-Veracruz-Mexico/BANAMEX--Asesor-Previsional-Afore_26960562,2026-07-04T20:45:35.719652
Citigroup,Banamex  Abogado Fiduciario,Ciudad De Mexico Distrito Federal Mexico,,,,,,2026-07-03T20:46:27.876424,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Ciudad-De-Mexico-Distrito-Federal-Mexico/Banamex--Abogado-Fiduciario_26974725,2026-07-04T20:45:35.719652
Citigroup,Banamex - Applications Development Sr WebSphere Application Server,Ciudad De Mexico Distrito Federal Mexico,,,,,,2026-07-03T20:46:27.876017,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Ciudad-De-Mexico-Distrito-Federal-Mexico/Banamex---Applications-Development-Sr-WebSphere-Application-Server_26970721,2026-07-04T20:45:35.719652
Citigroup,Banamex - Panadero Repostero para Comedores Ejecutivos,Ciudad De Mexico Distrito Federal Mexico,,,,,,2026-07-03T20:46:27.875912,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Ciudad-De-Mexico-Distrito-Federal-Mexico/Banamex---Panadero-Repostero-para-Comedores-Ejecutivos_26962047-1,2026-07-04T20:45:35.719652
Citigroup,Banamex Banquero Integral  Suc  0368 Puruandiro,Puruandiro Michoacan Mexico,,,,,,2026-07-03T20:46:27.876208,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Puruandiro-Michoacan-Mexico/Banamex-Banquero-Integral--Suc--0368-Puruandiro_26972706-1,2026-07-04T20:45:35.719652
Citigroup,"Banamex Banquero Integral -  Mexicali, BC",Mexicali Baja California Mexico,,,,,,2026-07-03T20:46:27.876279,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Mexicali-Baja-California-Mexico/Banamex-Banquero-Integral----Mexicali--BC_26962399-1,2026-07-04T20:45:35.719652
Citigroup,Banamex Banquero Integral Zona Bucerías,Puerto Vallarta Jalisco Mexico,,,,,,2026-07-03T20:46:27.875603,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Puerto-Vallarta-Jalisco-Mexico/Banamex-Banquero-Integral-Zona-Puerto-Vallarta_26964633-1,2026-07-04T20:45:35.719652
