company,title,location,remote_type,department,employment_type,experience_min,experience_max,posted_date,apply_url,first_seen_at
Mindtickle,"Account Executive, Expansions [NAMER]","Bengaluru, Karnataka, India",hybrid,Commercial Sales,Full-Time,,,2024-11-14T09:45:28.844000,https://jobs.lever.co/mindtickle/885113ea-1bf0-4283-91d0-950c36f71394,2026-07-10T07:40:41.527377
Mindtickle,Customer Success Engineer - II,"Pune, Maharashtra, India",onsite,Support,Full-Time,,,2025-12-04T15:18:30.906000,https://jobs.lever.co/mindtickle/166a3fea-6a19-48da-9a7d-bbff7d3c2f95,2026-07-10T07:40:41.527377
Mindtickle,Group Product Manager,"Bengaluru, Karnataka, India",onsite,Product Management,Full-Time,,,2025-10-31T13:16:24.794000,https://jobs.lever.co/mindtickle/b96342a2-a4a5-4281-8ccf-324b28a2e962,2026-07-10T07:40:41.527377
Mindtickle,Instructional Designer,"Pune, Maharashtra, India",hybrid,CaaS,Full-Time,,,2025-12-26T09:23:09.413000,https://jobs.lever.co/mindtickle/97d08931-526e-420a-afd9-dd203984dabc,2026-07-10T07:40:41.527377
Mindtickle,Lead Design Engineer,"Pune, Maharashtra, India",onsite,Design,Full-Time,,,2026-04-17T05:39:56.033000,https://jobs.lever.co/mindtickle/a2bc1371-eade-465a-a017-46c746742baa,2026-07-10T07:40:41.527377
Mindtickle,Learning Consultant,"Pune, Maharashtra, India",hybrid,CaaS,Full-Time,,,2024-03-04T06:34:33.715000,https://jobs.lever.co/mindtickle/e5f69583-dd88-4b86-af6b-5582df1548d8,2026-07-10T07:40:41.527377
Mindtickle,Principal Product Marketing Manager – Field (Expansion & Retention),"Remote, US, India",hybrid,Field Marketing,Full-Time,,,2026-02-16T05:47:47.320000,https://jobs.lever.co/mindtickle/1538441d-fb7c-45b6-855d-d9328b3e7a46,2026-07-10T07:40:41.527377
Mindtickle,Product & Engineering Operations Manager,"Pune, Maharashtra, India",onsite,Engineering,Full-Time,,,2026-05-27T07:15:38.136000,https://jobs.lever.co/mindtickle/94688682-f114-4d11-bde2-e9cef4f8c446,2026-07-10T07:40:41.527377
Mindtickle,Senior Business Development Representative,"Bengaluru, Karnataka, India",hybrid,Business Development,Full-Time,,,2026-02-23T16:26:30.842000,https://jobs.lever.co/mindtickle/8c8700a4-5020-4c8a-a324-ac7cac0ab804,2026-07-10T07:40:41.527377
Mindtickle,Senior Field Marketing Associate,"Remote, US, India",remote,Field Marketing,Full-Time,,,2026-01-06T12:33:28.019000,https://jobs.lever.co/mindtickle/059d83fe-6ad4-48da-ac4f-a3ddc446a80e,2026-07-10T07:40:41.527377
Mindtickle,Senior Graphic Designer,"Pune, Maharashtra, India",onsite,CaaS,Full-Time,,,2026-06-05T14:52:21.799000,https://jobs.lever.co/mindtickle/a8004d7e-0d6f-430e-a397-e310d00157fd,2026-07-10T07:40:41.527377
Mindtickle,Senior Instructional Designer,"Pune, Maharashtra, India",hybrid,Product Operations,Full-Time,,,2025-06-17T05:37:12.433000,https://jobs.lever.co/mindtickle/efead581-0fc4-4056-8320-4c1816d18732,2026-07-10T07:40:41.527377
Mindtickle,"Senior Manager, Business Development - Enterprise","Bengaluru, Karnataka, India",hybrid,Business Development,Full-Time,,,2026-01-07T12:40:15.246000,https://jobs.lever.co/mindtickle/dd65e840-9ff0-492f-879d-0e4dc65be2ad,2026-07-10T07:40:41.527377
Mindtickle,"Senior Manager, Services Delivery","Pune, Maharashtra, India",hybrid,Professional Services,Full-Time,,,2025-10-31T08:33:07.650000,https://jobs.lever.co/mindtickle/439945f2-b639-44d5-8dce-89bdd939a085,2026-07-10T07:40:41.527377
Mindtickle,Senior Product Manager,"Bengaluru, Karnataka, India",onsite,Product Management,Full-Time,,,2025-06-12T14:11:22.875000,https://jobs.lever.co/mindtickle/e55245fd-983c-4564-9b3f-491b7d16b8e8,2026-07-10T07:40:41.527377
Mindtickle,Senior Program Manager,"Pune, Maharashtra, India",hybrid,Professional Services,Full-Time,,,2026-01-13T10:43:43.851000,https://jobs.lever.co/mindtickle/9110aadd-49b0-4d10-9518-254d3d14ce1e,2026-07-10T07:40:41.527377
Mindtickle,Senior Solutions Architect (NAMER),"Pune, Maharashtra, India",hybrid,Professional Services,Full-Time,,,2026-03-23T18:15:55.247000,https://jobs.lever.co/mindtickle/37dd13ed-f6f2-42a1-887c-f251bd82720e,2026-07-10T07:40:41.527377
Mindtickle,Senior Technical Program Manager,"Pune, Maharashtra, India",onsite,Engineering,Full-Time,,,2025-10-16T18:43:59.698000,https://jobs.lever.co/mindtickle/59f53c64-fd11-4e08-a60d-9f72e5eb6649,2026-07-10T07:40:41.527377
Mindtickle,"Specialist, Information Security & Privacy","Pune, Maharashtra, India",hybrid,Information Security & Privacy,Full-Time,,,2026-03-18T14:57:37.319000,https://jobs.lever.co/mindtickle/26868ae4-5d58-4374-92cf-40cc7ec68946,2026-07-10T07:40:41.527377
Mindtickle,Staff Engineer,"Pune, Maharashtra, India",onsite,Engineering,,,,2026-02-23T13:16:33.503000,https://jobs.lever.co/mindtickle/e3b6c7c4-4374-458a-a60e-3f7659e222af,2026-07-10T07:40:41.527377
Mindtickle,UX Research Manager,"Bengaluru, Karnataka, India",onsite,Design,Full-Time,,,2026-02-17T06:24:36.273000,https://jobs.lever.co/mindtickle/3e7cc935-18d5-431f-ac94-dbcf0e819ccc,2026-07-10T07:40:41.527377
